ENTITY NAME,ENTITY ID,EXCHANGE,INDUSTRY CLASSIFICATION(GICS),DIVIDEND YIELD 2019(%),DIVIDEND YIELD 2020(%),DIVIDEND YIELD 2021(%),DIVIDEND YIELD 2022(%),DIVIDEND YIELD 2023(%),MARKET CAP(HK$M),CURRENT ROE(%),ROE 2019(%),ROE 2020(%),ROE 2021(%),ROE 2022(%),ROE 2023(%),DIVIDEND PAYOUT RATIO 2019(%),DIVIDEND PAYOUT RATIO 2020(%),DIVIDEND PAYOUT RATIO 2021(%),DIVIDEND PAYOUT RATIO 2022(%),DIVIDEND PAYOUT RATIO 2023(%),DAY CLOSE PRICE 1/2/2019(HK$),DAY CLOSE PRICE 12/31/2019(HK$),PRICE CHANGE IN 2019(%),DAY CLOSE PRICE 1/2/2020(HK$),DAY CLOSE PRICE 12/31/2020(HK$),PRICE CHANGE IN 2020(%),DAY CLOSE PRICE 1/4/2021(HK$),DAY CLOSE PRICE 12/31/2021(HK$),PRICE CHANGE IN 2021(%),DAY CLOSE PRICE 1/3/2022(HK$),DAY CLOSE PRICE 12/30/2022(HK$),PRICE CHANGE IN 2022(%),DAY CLOSE PRICE 1/3/2023(HK$),DAY CLOSE PRICE 12/29/2023(HK$),PRICE CHANGE IN 2023(%),,,,DIVIDEND YIELD (%),PRICE CHANGE (%),,DIVIDEND PAYOUT RATIO (%),PRICE CHANGE (%)
ENN Energy Holdings Limited (SEHK:2688),5001493,SEHK,Utilities; Utilities; Gas Utilities; Gas Utilities; Oil and Gas Distribution,1.40,1.47,1.12,2.51,5.06,"70,224.20",16.48,24.26,21.82,22.97,15.20,16.48,20.74,27.38,36.45,45.30,NA,69.90,85.15,21.82,86.45,113.80,31.64,115.90,146.80,26.66,150.80,109.60,(27.32),113.40,57.50,(49.29),,,,1.40,21.82,,20.74,21.82
Far East Horizon Limited (SEHK:3360),4296279,SEHK,Financials; Financial Services; Financial Services; Specialized Finance; Credit Agencies; Finance Leasing; Business Credit Agencies,4.11,4.13,5.20,6.89,7.98,"23,603.79",12.58,11.98,11.60,12.67,12.51,12.58,30.77,32.65,26.85,28.37,31.55,7.67,7.30,(4.82),7.44,7.99,7.39,7.80,6.92,(11.28),6.81,6.10,(10.43),6.13,6.14,0.16,,,,4.11,-4.82,,30.77,-4.82
First Pacific Company Limited (SEHK:142),1031113,SEHK,"Consumer Staples; Food, Beverage and Tobacco; Food Products; Packaged Foods and Meats; Bread and Bakery Products; Coffee And Tea; Tea; Dairy Products and Eggs; Dairy Products; Prepared and Preserved Foods; Infant Food; Snack Food; Seasonings and Preservatives; Sauces And Salad Dressings; Bread, Biscuits and Cookies; Butter and Margarine; Dry, Condensed, And Evaporated Dairy Products; Milk; Edible Oils; Grain Mill Products; Flour; Desserts and Dessert Toppings; Ice Cream, Flavored Ices and Frozen Desserts; Pasta; Sweeteners; Sugar; Cane Sugar",4.53,5.67,5.75,8.80,7.07,"15,425.07",12.23,0.41,6.17,7.60,10.01,12.23,NM,38.89,27.51,28.40,23.74,3.05,2.65,(13.11),2.65,2.47,(6.79),2.38,2.87,20.59,2.88,2.33,(19.10),2.31,3.11,34.63,,,,4.53,-13.11,,NM,-13.11
"Flat Glass Group Co., Ltd. (SEHK:6865)",4972527,SEHK,Information Technology; Semiconductors and Semiconductor Equipment; Semiconductors and Semiconductor Equipment; Semiconductor Materials and Equipment,1.10,0.32,0.45,1.38,3.89,"60,082.13",15.21,17.53,27.73,22.26,16.43,15.21,32.03,15.02,19.52,34.92,34.21,2.06,5.15,150.00,5.35,32.65,510.28,35.10,39.60,12.82,40.70,18.88,(53.61),18.86,13.18,(30.12),,,,1.10,150.00,,32.03,150.00
Fu Shou Yuan International Group Limited (SEHK:1448),4912724,SEHK,Consumer Discretionary; Consumer Services; Diversified Consumer Services; Specialized Consumer Services; Cemeteries and Funeral Home Services; Cemeteries; Funeral Homes and Crematories; Funeral Homes and Funeral Services,1.20,1.03,1.82,1.68,3.14,"11,537.00",15.38,17.03,15.57,16.45,13.76,15.38,27.52,25.08,29.77,34.95,43.93,5.50,6.60,20.00,6.78,7.28,7.37,7.41,6.13,(17.27),6.15,6.70,8.94,6.72,5.30,(21.13),,,,1.20,20.00,,27.52,20.00
Fufeng Group Limited (SEHK:546),4985945,SEHK,Materials; Materials; Chemicals; Diversified Chemicals,9.59,4.76,5.17,9.20,12.01,"12,297.35",19.16,10.16,5.46,10.51,27.41,19.16,64.64,50.34,22.85,27.95,NA,3.36,3.43,2.08,3.61,2.90,(19.67),2.99,2.69,(10.03),2.82,4.75,68.44,4.82,4.33,(10.17),,,,9.59,2.08,,64.64,2.08
Geely Automobile Holdings Limited (SEHK:175),4912598,SEHK,Consumer Discretionary; Automobiles and Components; Automobiles; Passenger Motor Vehicles; Automobile Manufacturers; Light Truck and Sport Utility Vehicles (SUVs),2.30,0.94,0.94,1.84,2.44,"89,866.00",6.12,16.47,9.36,6.48,6.35,6.12,34.26,40.81,35.87,36.60,38.77,12.98,15.24,17.41,15.60,26.50,69.87,26.90,21.30,(20.82),21.30,11.40,(46.48),11.86,8.59,(27.57),,,,2.30,17.41,,34.26,17.41
Genertec Universal Medical Group Company Limited (SEHK:2666),4812137,SEHK,Financials; Financial Services; Financial Services; Specialized Finance; Credit Agencies; Business Credit Agencies; Finance Leasing,4.58,5.01,5.51,7.59,7.57,"8,928.07",10.98,13.79,12.77,12.46,11.19,10.98,25.64,25.99,24.80,29.50,28.05,5.75,5.90,2.61,5.97,5.79,(3.02),5.91,5.63,(4.74),5.62,4.74,(15.66),4.71,4.49,(4.67),,,,4.58,2.61,,25.64,2.61
Grand Ming Group Holdings Limited (SEHK:1271),4990687,SEHK,"Industrials; Capital Goods; Construction and Engineering; Construction and Engineering; Commercial Construction and Engineering; Commercial Construction, General Contractors and Operative Builders; Commercial and Institutional Buildings",2.04,1.25,1.01,1.89,2.31,"5,283.23",49.95,5.34,1.30,6.10,0.76,49.95,46.68,205.62,295.27,647.14,33.39,2.47,2.40,(2.83),2.40,4.79,99.58,4.77,7.90,65.62,7.89,5.30,(32.83),5.75,3.89,(32.35),,,,2.04,-2.83,,46.68,-2.83
Grand Pharmaceutical Group Limited (SEHK:512),4812022,SEHK,"Health Care; Pharmaceuticals, Biotechnology and Life Sciences; Pharmaceuticals; Pharmaceuticals; Medicinal Chemicals and Botanical Products; Pharmaceutical Products; Oncology Drugs; Cardiovascular Drugs; Hormones and Hormone Antagonists; Respiratory Drugs",2.03,1.40,1.70,2.39,3.42,"13,902.18",12.86,14.12,17.94,19.41,15.18,12.86,25.24,18.09,16.25,18.78,NA,3.40,4.24,24.71,4.35,6.88,58.16,6.63,6.46,(2.56),6.55,4.60,(29.77),4.58,4.09,(10.70),,,,2.03,24.71,,25.24,24.71
Great Eagle Holdings Limited (SEHK:41),4143460,SEHK,Real Estate; Real Estate Management and Development; Diversified Real Estate Activities; Real Estate Management and Development,3.16,3.90,3.81,4.84,7.18,"8,389.46",1.17,(0.64),(15.54),(1.05),(0.56),1.17,NM,NM,NM,NM,85.29,32.85,26.25,(20.09),26.50,21.30,(19.62),21.90,21.80,(0.46),21.95,17.16,(21.82),17.38,12.12,(30.26),,,,3.16,-20.09,,NM,-20.09
Greentown China Holdings Limited (SEHK:3900),4429472,SEHK,"Real Estate; Real Estate Management and Development; Land Sub Dividers And Developers; Land Sub Dividers and Developers, except Cemetery; Real Estate Management and Development; Real Estate Development",2.72,2.89,3.42,4.71,6.89,"13,065.11",5.93,6.09,7.50,8.00,8.12,5.93,54.54,33.65,33.60,47.12,35.25,5.66,9.57,69.08,10.00,11.34,13.40,10.88,12.56,15.44,11.88,11.40,(4.04),11.40,7.95,(30.26),,,,2.72,69.08,,54.54,69.08
Greentown Service Group Co. Ltd. (SEHK:2869),4988132,SEHK,Real Estate; Real Estate Management and Development; Real Estate Operating Companies; Real Estate Management Services; Residential Property Managers; Real Estate Operators And Lessors; Nonresidential Building Operators and Lessors; Hotel Property Operators and Lessors; Real Estate Management and Development,0.88,0.78,1.67,3.09,3.44,"10,028.76",8.90,17.63,14.72,12.30,8.28,8.90,37.23,31.03,38.43,79.32,47.10,5.83,8.51,45.97,8.37,9.57,14.34,9.45,7.20,(23.81),7.14,5.18,(27.45),5.32,2.91,(45.30),,,,0.88,45.97,,37.23,45.97
Guangdong Investment Limited (SEHK:270),5000876,SEHK,Utilities; Utilities; Water Utilities; Water Utilities; Sewage Treatment Systems; Water Supply,3.36,4.16,6.00,7.67,10.80,"23,405.40",4.83,11.28,10.57,9.31,9.18,4.83,71.02,84.28,82.78,84.06,NA,14.94,16.30,9.10,16.38,13.96,(14.77),14.20,9.91,(30.21),9.90,7.99,(19.29),8.24,5.68,(31.07),,,,3.36,9.10,,71.02,9.10
"Guangzhou Automobile Group Co., Ltd. (SEHK:2238)",4911721,SEHK,Consumer Discretionary; Automobiles and Components; Automobile Manufacturers; Automobiles; Passenger Motor Vehicles,3.86,2.29,3.12,5.06,7.09,"76,364.02",3.03,8.37,7.16,8.25,7.44,3.03,60.34,41.55,37.82,41.05,79.08,7.71,9.70,25.81,9.84,8.62,(12.40),8.67,7.69,(11.30),7.83,5.26,(32.82),5.33,3.63,(31.89),,,,3.86,25.81,,60.34,25.81
Guangzhou Baiyunshan Pharmaceutical Holdings Company Limited (SEHK:874),4810945,SEHK,Health Care; Health Care Equipment and Services; Health Care Providers and Services; Health Care Distributors; Pharmaceutical Product Distribution; Healthcare Equipment Distribution,1.81,3.39,2.92,3.50,3.74,"49,838.76",12.12,14.01,11.41,13.33,13.09,12.12,32.79,44.25,34.04,37.58,39.09,27.15,26.60,(2.03),26.75,19.02,(28.90),18.82,22.45,19.29,23.80,23.00,(3.36),23.10,21.75,(5.84),,,,1.81,-2.03,,32.79,-2.03
"Guangzhou Rural Commercial Bank Co., Ltd. (SEHK:1551)",4308417,SEHK,Financials; Banks; Banks; Regional Banks; Regional Commercial Banks,6.23,6.24,7.08,4.64,5.23,"23,055.66",3.53,12.24,7.06,4.64,4.61,3.53,26.09,45.58,38.07,40.13,23.08,4.99,3.65,(26.85),3.64,3.50,(3.85),3.50,3.43,(2.00),3.20,2.64,(17.50),2.63,2.20,(16.35),,,,6.23,-26.85,,26.09,-26.85
Guoco Group Limited (SEHK:53),4085474,SEHK,Industrials; Capital Goods; Industrial Conglomerates; Industrial Conglomerates,3.03,2.71,2.35,3.01,5.33,"23,165.22",4.81,5.19,(0.97),3.28,4.31,4.81,38.47,NM,26.04,33.35,19.11,98.00,132.00,34.69,132.00,92.25,(30.11),94.90,85.00,(10.43),84.55,66.50,(21.35),66.70,56.30,(15.59),,,,3.03,34.69,,38.47,34.69
"Haitong Unitrust International Financial Leasing Co., Ltd. (SEHK:1905)",4558801,SEHK,Financials; Financial Services; Business Credit Agencies; Finance Leasing; Financial Services; Specialized Finance; Credit Agencies,3.32,6.50,7.51,9.38,14.42,"7,411.77",8.23,9.61,7.17,8.44,8.41,8.23,35.08,65.04,41.32,44.19,60.93,NA,1.68,#VALUE!,1.60,1.42,(11.25),1.41,1.03,(26.95),0.96,0.85,(11.46),0.77,0.82,6.49,,,,3.32,#VALUE!,,35.08,#VALUE!
Hang Lung Group Limited (SEHK:10),4260129,SEHK,Real Estate; Real Estate Management and Development; Real Estate Operating Companies; Real Estate Management Services; Real Estate Operators And Lessors; Nonresidential Building Operators and Lessors; Office Building Operators and Lessors; Shopping Mall Operators and Lessors; Residential Building Operators and Lessors; Apartment Building Operators and Lessors; Real Estate Management and Development,4.15,4.25,5.04,6.00,8.08,"11,955.01",3.17,8.14,(1.38),3.13,3.00,3.17,21.56,NM,45.26,43.00,41.75,19.52,19.26,(1.33),19.50,19.28,(1.13),18.96,16.66,(12.13),16.36,14.34,(12.35),14.52,10.64,(26.72),,,,4.15,-1.33,,21.56,-1.33
Hang Lung Properties Limited (SEHK:101),4143410,SEHK,Real Estate; Real Estate Management and Development; Real Estate Management Services; Nonresidential Property Managers; Residential Property Managers; Real Estate Operators And Lessors; Nonresidential Building Operators and Lessors; Office Building Operators and Lessors; Shopping Mall Operators and Lessors; Residential Building Operators and Lessors; Real Estate Management and Development; Real Estate Operating Companies; Hotel Property Operators and Lessors; Industrial Property Operators and Lessors; Apartment Building Operators and Lessors,4.39,3.72,4.80,5.11,7.17,"36,129.06",3.22,6.73,(1.39),3.20,2.98,3.22,55.47,NM,90.70,91.76,88.64,14.58,17.10,17.28,17.28,20.45,18.34,20.20,16.04,(20.59),15.78,15.26,(3.30),15.76,10.88,(30.96),,,,4.39,17.28,,55.47,17.28
Hang Seng Bank Limited (SEHK:11),4147673,SEHK,Financials; Banks; Banks; Diversified Banks,4.84,5.01,4.27,3.00,5.82,"181,822.97",10.87,14.56,9.21,7.59,6.55,10.87,64.20,65.77,73.55,74.12,72.50,173.00,161.00,(6.94),162.20,133.70,(17.57),137.00,142.70,4.16,144.30,129.80,(10.05),129.90,91.05,(29.91),,,,4.84,-6.94,,64.20,-6.94
Health and Happiness (H&H) International Holdings Limited (SEHK:1112),4911673,SEHK,"Food, Beverage and Tobacco; Consumer Staples; Food Products; Packaged Foods and Meats; Meats, Meat Processing And Meat Related Products; Meat Products; Prepared and Preserved Foods; Animal Feed; Confectionery Products; Candy; Infant Food",1.49,3.68,6.29,2.52,6.78,"6,281.31",9.36,19.25,19.27,8.41,10.17,9.36,27.02,75.84,80.14,38.19,81.56,42.30,32.25,(23.76),33.75,28.70,(14.96),29.65,12.08,(59.26),11.78,16.66,41.43,16.42,12.10,(26.31),,,,1.49,-23.76,,27.02,-23.76
Henderson Land Development Company Limited (SEHK:12),4143422,SEHK,Real Estate; Real Estate Management and Development; Real Estate Development; Real Estate Management and Development,4.39,5.95,1.51,6.61,7.48,"112,320.18",2.84,5.30,3.13,3.90,2.73,2.84,51.28,85.31,NA,NA,94.24,34.77,38.25,10.00,38.25,30.25,(20.92),30.90,33.20,7.44,33.25,27.25,(18.05),27.60,24.05,(12.86),,,,4.39,10.00,,51.28,10.00
Hengan International Group Company Limited (SEHK:1044),4912578,SEHK,Consumer Staples; Household and Personal Products; Personal Care Products; Personal Care Products; Beauty Care Products; Skin Care Products; Baby Care Products; Diapers; Feminine Care Products,4.54,4.94,6.87,4.03,5.37,"28,297.64",13.90,22.29,24.38,16.90,9.98,13.90,66.98,63.44,82.66,84.51,NA,57.00,55.50,(2.63),55.10,54.90,(0.36),56.00,40.15,(28.30),40.40,41.45,2.60,40.70,29.05,(28.62),,,,4.54,-2.63,,66.98,-2.63
HK Electric Investments and HK Electric Investments Limited (SEHK:2638),5001177,SEHK,Utilities; Utilities; Electric Utilities; Electric Utilities; Electric Power Distribution; Electric Power Generation By Fossil Fuels; Electric Power Transmission and Control,4.70,4.20,4.19,6.20,6.80,"40,204.71",6.42,4.79,5.68,6.10,6.05,6.42,136.91,103.59,96.49,95.80,NA,7.93,7.68,(3.15),7.76,7.63,(1.68),7.68,7.65,(0.39),7.72,5.17,(33.03),5.25,4.71,(10.29),,,,4.70,-3.15,,136.91,-3.15
HKT Trust and HKT Limited (SEHK:6823),4999372,SEHK,Communication Services; Telecommunication Services; Integrated Telecommunication Services; Local Telecommunications Services; Long Distance Telecommunications Services; Diversified Telecommunication Services,6.30,7.00,6.84,7.67,8.07,"66,925.27",13.96,13.86,14.02,12.84,13.36,13.96,100.40,100.62,112.90,113.47,114.12,11.38,10.98,(3.51),11.00,10.06,(8.55),10.02,10.48,4.59,10.54,9.57,(9.20),9.76,9.32,(4.51),,,,6.30,-3.51,,100.40,-3.51
Hong Kong Exchanges and Clearing Limited (SEHK:388),4322619,SEHK,Financials; Financial Services; Capital Markets; Financial Exchanges and Data; Security and Commodity Exchanges,2.68,1.58,2.01,2.26,3.06,"275,165.03",23.52,21.99,24.51,25.21,20.19,23.52,61.60,60.70,91.96,95.90,86.97,222.00,253.00,13.96,260.40,425.00,63.21,441.80,455.40,3.08,454.60,337.20,(25.82),343.00,268.00,(21.87),,,,2.68,13.96,,61.60,13.96
Huadian Power International Corporation Limited (SEHK:1071),4351103,SEHK,Utilities; Utilities; Independent Power and Renewable Electricity Producers; Independent Power Producers and Energy Traders,2.49,8.21,9.03,9.07,6.39,"74,236.36",6.25,6.08,7.09,(7.97),(0.86),6.25,203.26,164.78,NM,NM,146.88,3.45,2.96,(14.20),2.95,1.95,(33.90),2.07,3.40,64.25,3.60,3.23,(10.28),3.34,3.47,3.89,,,,2.49,-14.20,,203.26,-14.20
Industrial and Commercial Bank of China Limited (SEHK:1398),4226356,SEHK,Financials; Banks; Banks; Diversified Banks; Diversified Commercial Banks,4.75,5.71,7.27,8.54,8.62,"1,942,944.36",10.02,12.44,11.34,11.33,10.64,10.02,30.48,31.27,29.29,29.66,31.29,5.43,6.00,10.50,6.05,5.03,(16.86),4.85,4.40,(9.28),4.42,4.02,(9.05),4.06,3.82,(5.91),,,,4.75,10.50,,30.48,10.50
Jiangsu Expressway Company Limited (SEHK:177),4995084,SEHK,Industrials; Transportation; Highways and Railtracks; Transportation Infrastructure,4.89,5.80,6.98,7.53,7.18,"59,301.64",11.69,13.86,7.66,12.10,9.92,11.69,64.87,123.90,73.90,91.36,77.19,10.90,10.68,(2.02),10.86,8.67,(20.17),8.73,7.99,(8.48),8.04,7.13,(11.32),7.14,7.02,(1.68),,,,4.89,-2.02,,64.87,-2.02
Jiangxi Copper Company Limited (SEHK:358),4351423,SEHK,Materials; Materials; Metals and Mining; Copper; Copper Ores; Primary Smelting And Refining Of Copper; Secondary Smelting And Refining Of Copper,2.12,0.89,0.98,5.10,5.01,"78,265.53",8.79,3.92,3.88,8.18,7.62,8.79,117.51,91.92,26.70,41.17,54.84,9.07,10.72,18.19,10.88,12.18,11.95,12.94,12.48,(3.55),12.70,11.52,(9.29),11.80,11.04,(6.44),,,,2.12,18.19,,117.51,18.19
JNBY Design Limited (SEHK:3306),4912661,SEHK,"Consumer Discretionary; Consumer Durables and Apparel; Textiles, Apparel and Luxury Goods; Apparel, Accessories and Luxury Goods; Accessories; Apparel; Infant's Apparel; Men's Apparel; Women's, Misses', and Juniors' Apparel",7.65,6.00,12.10,10.29,9.24,"7,272.67",33.89,35.92,23.94,40.42,32.86,33.89,70.53,63.40,61.16,80.63,63.07,10.28,10.46,1.75,10.50,9.00,(14.29),8.80,12.40,40.91,12.22,9.33,(23.65),9.21,10.50,14.01,,,,7.65,1.75,,70.53,1.75
Johnson Electric Holdings Limited (SEHK:179),4990896,SEHK,Consumer Discretionary; Automobile Components; Automotive Parts and Equipment; Automobiles and Components,2.88,1.77,3.09,3.46,4.11,"9,180.96",6.45,11.77,(21.83),10.41,6.33,6.45,15.40,NM,8.03,37.03,7.87,15.80,17.72,12.15,17.66,19.20,8.72,19.96,16.52,(17.23),16.70,9.83,(41.14),10.06,12.40,23.26,,,,2.88,12.15,,15.40,12.15
K. Wah International Holdings Limited (SEHK:173),4429476,SEHK,"Real Estate; Real Estate Management and Development; Real Estate Development; Land Sub Dividers And Developers; Land Sub Dividers and Developers, except Cemetery; Real Estate Management and Development",4.60,5.63,6.98,7.75,10.77,"5,357.25",1.84,8.39,7.76,7.64,3.11,1.84,19.87,20.10,19.60,47.93,62.50,3.71,4.35,17.25,4.35,3.73,(14.25),3.68,3.01,(18.21),3.01,2.71,(9.97),2.78,1.95,(29.86),,,,4.60,17.25,,19.87,17.25
Kerry Logistics Network Limited (SEHK:636),4995112,SEHK,Industrials; Transportation; Air Freight and Logistics; Air Freight and Logistics,3.29,1.71,2.36,5.56,5.72,"14,947.44",6.98,17.10,5.06,14.88,16.58,6.98,11.30,17.96,10.21,39.39,NA,11.58,13.38,15.54,13.62,17.00,24.82,17.42,19.06,9.41,19.52,14.04,(28.07),14.00,8.22,(41.29),,,,3.29,15.54,,11.30,15.54
Kerry Properties Limited (SEHK:683),4143419,SEHK,Real Estate; Real Estate Management and Development; Diversified Real Estate Activities; Real Estate Management and Development,5.45,6.87,6.65,7.94,9.45,"20,173.15",3.42,6.80,4.94,8.79,2.73,3.42,28.48,98.38,51.34,71.05,60.54,26.55,24.75,(6.78),25.05,19.64,(21.60),19.72,20.30,2.94,20.55,17.00,(17.27),17.62,14.28,(18.96),,,,5.45,-6.78,,28.48,-6.78
Kinetic Development Group Limited (SEHK:1277),4379718,SEHK,"Energy; Energy; Oil, Gas and Consumable Fuels; Coal and Consumable Fuels; Coal Products",12.00,10.23,18.27,20.83,18.18,"8,008.50",30.18,41.31,32.47,67.31,48.79,30.18,40.22,41.65,26.80,33.75,37.31,0.46,0.38,(18.48),0.38,0.44,17.33,0.43,0.52,20.93,0.51,0.60,17.65,0.59,0.55,(6.78),,,,12.00,-18.48,,40.22,-18.48
Kingboard Holdings Limited (SEHK:148),4571283,SEHK,"Information Technology; Technology Hardware and Equipment; Electronic Equipment, Instruments and Components; Electronic Components; Electronic Components; Microelectronics",3.97,2.69,4.11,11.03,4.87,"15,782.36",3.63,6.69,9.82,19.39,6.28,3.63,34.30,14.09,13.15,91.00,NA,20.85,24.70,18.47,25.15,32.70,30.02,33.15,37.95,14.48,38.45,24.85,(35.37),25.45,18.68,(26.60),,,,3.97,18.47,,34.30,18.47
Kingboard Laminates Holdings Limited (SEHK:1888),4970845,SEHK,"Technology Hardware and Equipment; Information Technology; Electronic Equipment, Instruments and Components; Electronic Components",4.66,3.16,4.90,15.73,3.87,"17,253.60",6.05,13.17,16.95,40.56,11.19,6.05,57.72,32.98,115.02,245.13,NA,6.36,9.66,51.89,9.78,12.66,29.45,12.70,13.26,4.41,13.40,8.58,(35.97),8.64,6.72,(22.22),,,,4.66,51.89,,57.72,51.89
Kowloon Development Company Limited (SEHK:34),4143413,SEHK,Real Estate; Real Estate Management and Development; Real Estate Development; Real Estate Management and Development,7.57,9.63,7.86,11.23,14.04,"5,730.19",1.80,6.44,2.46,12.06,6.43,1.80,37.50,117.65,43.62,80.58,NA,8.28,9.77,18.00,9.80,8.10,(17.35),8.25,10.30,24.85,10.36,7.39,(28.67),7.47,5.91,(20.88),,,,7.57,18.00,,37.50,18.00
Kunlun Energy Company Limited (SEHK:135),4424748,SEHK,Utilities; Utilities; Gas Utilities; Gas Utilities; Oil and Gas Distribution,3.74,4.22,3.53,4.53,4.08,"61,304.32",11.12,6.18,7.08,9.82,10.48,11.12,32.98,37.56,7.90,34.41,NA,8.06,6.88,(14.64),7.04,6.70,(4.83),7.00,7.31,4.43,7.41,5.57,(24.83),5.64,7.04,24.82,,,,3.74,-14.64,,32.98,-14.64
Lee & Man Paper Manufacturing Limited (SEHK:2314),4984427,SEHK,Materials; Materials; Paper and Forest Products; Paper Products; Industrial Service Paper; Tissue Paper; Paper Manufacturing; Pulp Mills,4.75,3.94,6.09,5.09,2.53,"9,836.29",4.02,13.41,12.85,10.14,4.25,4.02,39.10,33.28,48.07,67.35,NA,6.62,5.90,(10.88),6.05,6.35,4.96,6.30,5.42,(13.97),5.44,3.44,(36.76),3.48,2.29,(34.20),,,,4.75,-10.88,,39.10,-10.88
Legend Holdings Corporation (SEHK:3396),4411094,SEHK,"Information Technology; Technology Hardware and Equipment; Technology Hardware, Storage and Peripherals; Technology Hardware, Storage and Peripherals",1.87,3.55,3.79,5.61,2.95,"12,464.46",0.62,9.87,10.11,17.88,10.66,0.62,5.32,18.54,14.76,71.63,NM,20.00,17.68,(11.60),17.76,10.18,(42.68),10.18,11.52,13.16,11.52,8.35,(27.52),8.62,7.36,(14.62),,,,1.87,-11.60,,5.32,-11.60
Lenovo Group Limited (SEHK:992),4329903,SEHK,"Information Technology; Technology Hardware, Storage and Peripherals; Technology Hardware and Equipment; Technology Hardware, Storage and Peripherals; Computer Components; Personal Computers And Accessories; Computer Audio Equipment; Desktop Computers; Laptop Computers; Monitors; Servers; Wireless Telephone Equipment; Mobile Telephones",5.37,3.84,3.57,5.93,3.48,"102,090.35",29.38,15.21,19.73,34.24,47.65,29.38,62.20,59.98,35.86,23.59,36.00,5.13,5.23,1.95,5.37,7.32,36.31,7.62,8.96,17.59,9.05,6.41,(29.17),6.49,10.92,68.26,,,,5.37,1.95,,62.20,1.95
Li Ning Company Limited (SEHK:2331),4913188,SEHK,"Consumer Discretionary; Consumer Durables and Apparel; Textiles, Apparel and Luxury Goods; Apparel, Accessories and Luxury Goods; Apparel; Accessories; Specialty Apparel; Athletic Uniforms",0.42,0.32,0.29,0.79,4.32,"45,003.98",13.08,23.16,21.48,26.93,17.89,13.08,14.32,22.24,12.84,29.40,NA,8.39,23.35,178.31,23.05,53.30,131.24,53.30,85.35,60.13,85.50,67.75,(20.76),69.35,20.90,(69.86),,,,0.42,178.31,,14.32,178.31
"Liaoning Port Co., Ltd. (SEHK:2880)",4562018,SEHK,Industrials; Transportation; Transportation Infrastructure; Marine Ports and Services; Marine Cargo Services; Towing and Tugboat Services,2.23,3.11,5.13,4.65,3.08,"31,973.31",3.56,4.24,7.21,5.10,3.55,3.56,116.27,61.52,66.92,75.67,62.98,0.99,0.97,(2.02),0.98,0.74,(24.49),0.76,0.71,(6.58),0.71,0.68,(4.23),0.69,0.62,(10.14),,,,2.23,-2.02,,116.27,-2.02
Link Real Estate Investment Trust (SEHK:823),4143456,SEHK,Real Estate; Equity Real Estate Investment Trusts (REITs); Retail REITs; Retail REITs,3.42,4.07,4.49,5.26,5.68,"79,807.66",8.69,11.10,(9.90),0.47,4.29,8.69,28.37,NM,508.75,NA,NA,78.20,82.50,5.50,82.30,70.60,(14.22),71.75,68.65,(4.32),68.65,57.30,(16.53),58.20,43.85,(24.66),,,,3.42,5.50,,28.37,5.50
L'Occitane International S.A. (SEHK:973),4911163,SEHK,Consumer Staples; Household and Personal Products; Personal Care Products; Personal Care Products; Beauty Care Products; Cosmetics; Hair Care Products; Perfumes and Colognes; Skin Care Products,1.37,1.04,1.05,2.25,1.14,"43,478.36",9.45,11.55,10.14,12.56,18.71,9.45,36.72,37.24,21.58,22.37,84.13,14.50,18.46,27.31,18.02,19.32,7.21,19.16,31.55,64.67,32.55,24.35,(25.19),24.60,22.30,(9.35),,,,1.37,27.31,,36.72,27.31
Longfor Group Holdings Limited (SEHK:960),4429478,SEHK,Real Estate; Real Estate Management and Development; Real Estate Development; Real Estate Management and Development,3.26,3.07,4.97,7.39,9.83,"62,394.38",7.30,17.27,16.05,15.33,14.43,7.30,39.00,44.07,41.23,26.82,27.06,22.40,36.50,62.95,37.10,45.40,22.37,44.25,36.70,(17.06),36.10,24.30,(32.69),24.15,12.50,(48.24),,,,3.26,62.95,,39.00,62.95
Lonking Holdings Limited (SEHK:3339),4988980,SEHK,Industrials; Capital Goods; Machinery; Construction Machinery and Heavy Transportation Equipment; Construction Machinery and Equipment,8.55,10.42,15.07,16.06,8.20,"6,291.75",6.54,19.02,20.45,12.57,4.01,6.54,44.49,49.79,93.06,191.14,NA,1.98,2.34,18.18,2.43,2.40,(1.23),2.40,2.19,(8.75),2.19,1.37,(37.44),1.40,1.22,(12.86),,,,8.55,18.18,,44.49,18.18
Luk Fook Holdings (International) Limited (SEHK:590),4914648,SEHK,Consumer Discretionary; Consumer Discretionary Distribution and Retail; Specialty Retail; Other Specialty Retail,4.90,3.88,5.00,4.74,6.06,"10,579.68",10.57,14.57,8.27,9.38,11.90,10.57,43.26,74.55,41.84,44.28,50.27,22.10,22.45,1.58,22.75,18.70,(17.80),18.40,21.00,14.13,21.25,23.20,9.18,24.05,20.95,(12.89),,,,4.90,1.58,,43.26,1.58
